States,Member State,Year,Fund,Total Paid,Advance,Interim,Absorption (%),,,,,,
EU (28 countries),Austria,2007,ERDF,13601320.42,13601320.42,0,2.11,,,,,,
Belgium,Austria,2008,ERDF,20401980.63,20401980.63,0,5.27,,,,,,
Bulgaria,Austria,2009,ERDF,56436858.43,17001650.54,39435207.89,14.01,,,,,,
Czechia,Austria,2010,ERDF,66360472.22,0,66360472.22,24.28,,,,,,
Denmark,Austria,2011,ERDF,83961663.78,0,83961663.78,37.28,,,,,,
Germany,Austria,2012,ERDF,29132198.48,0,29132198.48,41.79,,,,,,Make member state list for CSV to draw from for buttons
Estonia,Austria,2013,ERDF,90110163.13,0,90110163.13,55.75,,,,,,
Ireland,Austria,2014,ERDF,81839972.53,0,81839972.53,68.42,,,,,,
Greece,Austria,2015,ERDF,150288389.2,0,150288389.2,91.7,,,,,,
Spain,Austria,2016,ERDF,21339769.69,0,21339769.69,97.97,,,,,,
France,Austria,2007,ESF,10488251.2,10488251.2,0,2,,,,,,
Croatia,Austria,2008,ESF,15732376.8,15732376.8,0,5,,,,,,
Italy,Austria,2009,ESF,109384414.3,13110314,96274100.29,25.86,,,,,,
Cyprus,Austria,2010,ESF,51980866.53,0,51980866.53,35.77,,,,,,
Latvia,Austria,2011,ESF,43729800.28,0,43729800.28,44.11,,,,,,
Lithuania,Austria,2012,ESF,127612653.4,0,127612653.4,68.44,,,,,,
Luxembourg,Austria,2013,ESF,88834753.19,0,88834753.19,85.38,,,,,,
Hungary,Austria,2014,ESF,50428816.33,0,50428816.33,95,,,,,,
Malta,Austria,2015,ESF,0,0,0,95,,,,,,
Netherlands,Austria,2016,ESF,0,0,0,95.5,,,,,,
Austria,Austria,2007,TOTAL,24089571.62,24089571.62,0,2.06,,,,,,
Poland,Austria,2008,TOTAL,36134357.43,36134357.43,0,5.15,,,,,,
Portugal,Austria,2009,TOTAL,165821272.7,30111964.54,135709308.2,19.32,,,,,,
Romania,Austria,2010,TOTAL,118341338.8,0,118341338.8,29.43,,,,,,
Slovenia,Austria,2011,TOTAL,127691464.1,0,127691464.1,40.34,,,,,,
Slovakia,Austria,2012,TOTAL,156744851.9,0,156744851.9,53.74,,,,,,
Finland,Austria,2013,TOTAL,178944916.3,0,178944916.3,69.03,,,,,,
Sweden,Austria,2014,TOTAL,132268788.9,0,132268788.9,80.33,,,,,,
United Kingdom,Austria,2015,TOTAL,150288389.2,0,150288389.2,93.18,,,,,,
,Austria,2016,TOTAL,21339769.69,0,21339769.69,96.86,,,,,,
,Belgium,2007,ERDF,14155364.82,14155364.82,0,1.43,,,,,,
,Belgium,2008,ERDF,35358793.78,35358793.78,0,5.02,,,,,,
,Belgium,2009,ERDF,120522675.1,24757079.32,95765595.73,17.23,,,,,,
,Belgium,2010,ERDF,96618910.75,0,96618910.75,27.03,,,,,,
,Belgium,2011,ERDF,48983726.45,0,48983726.45,31.99,,,,,,
,Belgium,2012,ERDF,155877181.6,0,155877181.6,47.79,,,,,,
,Belgium,2013,ERDF,176398401.6,0,176398401.6,65.67,,,,,,
,Belgium,2014,ERDF,221290008.6,0,221290008.6,88.1,,,,,,
,Belgium,2015,ERDF,54766613.57,0,54766613.57,93.65,,,,,,
,Belgium,2016,ERDF,6608604.39,0,6608604.39,100,,,,,,
,Belgium,2007,ESF,21464351.88,21464351.88,0,2,,,,,,
,Belgium,2008,ESF,32196527.82,32196527.82,0,5,,,,,,
,Belgium,2009,ESF,148960333.2,26830439.86,122129893.4,18.9,,,,,,
,Belgium,2010,ESF,8265347.76,0,8265347.76,19.67,,,,,,
,Belgium,2011,ESF,137211703.9,0,137211703.9,32.47,,,,,,
,Belgium,2012,ESF,193725178.1,0,193725178.1,50.53,,,,,,
